JrId	JournalTitle	MedAbbr	ISSN_NLM	EISSN_NLM	IsoAbbr	NlmId
25117	Vie et langage	Vie Lang	0042-5494		Vie Lang	100970541
25118	Southern Indian studies	South Indian Stud	0085-6525		South Indian Stud	100970542
25120	Southern studies	South Stud	0735-8342		South Stud	100970545
25122	Southwest review	Southwest Rev	0038-4712		Southwest Rev	100970549
25123	Vitae scholasticae	Vitae Scholasticae	0735-1909		Vitae Scholasticae	100970550
25126	Urbi	Urbi	0242-1100		Urbi	100970553
25127	Utah historical quarterly	Utah Hist Q	0042-143X		Utah Hist Q	100970555
25130	Sovetskaia etnografiia / Akademiia nauk SSSR i Narodnyi komissariat prosveshcheniia RSFSR	Sov Etnogr	0038-5050		Sov Etnogr	100970561
25134	Soviet studies in history	Sov Stud Hist	0038-5867		Sov Stud Hist	100970568
25136	Texana	Texana	0040-411X		Texana	100970579
25138	Tequesta	Tequesta	0363-3705		Tequesta	100970582
25139	Tennessee studies in literature	Tenn Stud Lit	0497-2384		Tenn Stud Lit	100970584
25140	Technology (Elmsford, N.Y.)	Technology	1072-9240		Technology	100970590
25141	Teachers College record	Teach Coll Rec	0040-0475		Teach Coll Rec	100970597
25142	Tampa Bay history	Tampa Bay Hist	0272-1406		Tampa Bay Hist	100970600
25143	Szazadok	Szazadok	0039-8098		Szazadok	100970601
25147	Histoire sociale. Social history	Histoire Soc	0018-2257		Histoire Soc	100970476
25148	Sovetskoe gosudarstvo i pravo	Sov Gos Pravo	0038-5204		Sov Gos Pravo	100970563
25150	Si yu yan	Si Yu Yan	0258-8412		Si Yu Yan	100970634
25152	Theologiai szemle	Theol Sz	0133-7599		Theol Sz	100970616
25154	The Thomist	Thomist	0040-6325		Thomist	100970622
25155	Spiegel historiael	Spieg Hist	0038-7487		Spieg Hist	100970625
25157	Spinner (New Bedford, Mass.)	Spinner	0730-2657		Spinner	100970627
25158	Tidsskrift for rettsvidenskap	Tidsskr Rettsvitenskap	0040-7143		Tidsskr Rettsvitenskap	100970628
25159	Tidsskrift for samfunnsforskning	Tidsskr Samfunnsforsk	0040-716X		Tidsskr Samfunnsforsk	100970629
25160	Spirales	Spirales	0038-7568		Spirales	100970630
25161	Spisanie na Bulgarskata akademiia na naukite. Bulgarska akademiia na naukite	Spis Blg Akad Nauk	0007-3989		Spis Blg Akad Nauk	100970631
25164	Stadion (Cologne, Germany)	Stadion (Koln)	0172-4029		Stadion (Koln)	100970637
25165	Stanford French review	Stanford Fr Rev	0163-657X		Stanford Fr Rev	100970639
25168	Timeline (Columbus, Ohio)	Timeline	0748-9579		Timeline	100970645
25169	The state of Black America. National Urban League	State Black Am	0148-6985		State Black Am	100970646
25170	Sterkiana	Sterkiana	0585-2560		Sterkiana	100970647
25172	Stimmen der Zeit	Stimmen Zeit	0039-1492		Stimmen Zeit	100970651
25173	Strategy & tactics (Cambria, Calif.)	Strategy Tactics	1040-886X		Strategy Tactics	100970656
25176	Studies in the American renaissance	Stud Am Renaiss	0149-015X		Stud Am Renaiss	100970659
25177	Studies in Burke and his time	Stud Burke Time	0039-3584		Stud Burke Time	100970662
25178	The Torah u-madda journal	Torah U Madda J	1050-4745		Torah U Madda J	100970663
25180	Torteneti statisztikai tanulmanyok / Kozponti Statisztikai Hivatal Konyvtara, Magyar Orszagos Leveltar	Tort Stat Tanulm	0133-9184		Tort Stat Tanulm	100970665
25181	Tortenelmi szemle	Tortenelmi Sz	0040-9634		Tortenelmi Sz	100970667
25184	Studii clasice	Stud Cl	0081-8844		Stud Cl	100970670
25186	Studia Comeniana et historica	Stud Comeniana Hist	0323-2220		Stud Comeniana Hist	100970672
25187	Tradition (Rabbinical Council of America)	Tradition	0041-0608		Tradition	100970676
25189	Trans-action	Trans Action	0041-1035		Trans Action	100970681
25190	Studies in eighteenth-century culture	Stud Eighteenth Cent Cult	0360-2370		Stud Eighteenth Cent Cult	100970684
25191	Studies in English literature	Stud Engl Lit	0585-668X		Stud Engl Lit	100970685
25192	Studies in European thought	Stud Eur Thought	1043-5786		Stud Eur Thought	100970687
25193	Transactions - Bristol and Gloucestershire Archaeological Society. Bristol and Gloucestershire Archaeological Society	Trans Bristol Glos Archaeol Soc	0068-1032		Trans Bristol Glos Archaeol Soc	100970689
25194	Studia filozoficzne	Stud Filoz	0039-3142		Stud Filoz	100970690
25195	Transactions of the Cambridge Bibliographical Society	Trans Camb Bibliogr Soc	0068-6611		Trans Camb Bibliogr Soc	100970692
25196	Studies in history	Stud Hist (Sahibabad)	0258-1698		Stud Hist (Sahibabad)	100970693
25198	Studia Leibnitiana	Stud Leibnitiana	0039-3185		Stud Leibnitiana	100970699
25200	Essex archaeology and history : the transactions of the Essex Archaeological Society	Trans Essex Archaeol Soc	0308-3462		Trans Essex Archaeol Soc	100970704
25201	Studies in medieval culture	Stud Mediev Cult	0085-6878		Stud Mediev Cult	100970706
25204	Studia papyrologica	Stud Papyrol	0039-3290		Stud Papyrol	100970714
25206	Transactions of the Illinois State Academy of Science. Illinois State Academy of Science	Trans Ill State Acad Sci	0019-2252		Trans Ill State Acad Sci	100970717
25207	Studia Rosenthaliana	Stud Rosenthaliana	0039-3347		Stud Rosenthaliana	100970719
25213	The Turnbull Library record	Turnbull Libr Rec	0110-1625		Turnbull Libr Rec	100970736
25215	Tohogaku	Tohogaku	0495-7199		Tohogaku	100970660
25216	Toyoshi kenkyu / [Toyoshi Kenkyukai]	Toyoshi Kenkyu	0386-9059		Toyoshi Kenkyu	100970673
25218	Transactions of the Lancashire and Cheshire Antiquarian Society. Lancashire and Cheshire Antiquarian Society	Trans Lancaster Cheshire Antiq Soc	0950-4699		Trans Lancaster Cheshire Antiq Soc	100970728
25220	Studies in the social sciences (West Georgia College)	Stud Soc Sci West Ga Coll	0081-8682		Stud Soc Sci West Ga Coll	100970757
25221	Studies on Voltaire and the eighteenth century / edited by Theodore Besterman	Stud Voltaire 18th Century	0435-2866		Stud Voltaire 18th Century	100970761
25222	University of Edinburgh journal	Univ Edinb J	0041-9567		Univ Edinb J	100970780
25223	Studime historike	Studime Hist	0563-5799		Studime Hist	100970779
25224	Svenska Linnesallskapets arsskrift = Yearbook of the Swedish Linnaeus Society	Sven Linnesallskap Arsskr	0375-2038		Sven Linnesallskap Arsskr	100970803
25225	Wissenschaftliche Zeitschrift. Gesellschafts- und sprachwissenschaftliche Reihe (Karl-Marx-Universitat Leipzig)	Wiss Z Karl Marx Univ Leipzig Ges Sprachwiss	0043-6879		Wiss Z Karl Marx Univ Leipzig Ges Sprachwiss	100970820
25226	Zeitschrift fur Ostforschung	Z Ostforsch	0044-3239		Z Ostforsch	100970826
25227	Revue de l'Avranchin et du pays de Granville	Rev Avranchin Pays Granville	0035-1342		Rev Avranchin Pays Granville	100970843
25229	Studies in Scottish literature	Stud Scott Lit	0039-3770		Stud Scott Lit	100970756
25231	Studi storici	Stud Stor	0039-3037		Stud Stor	100970759
25233	Studi francesi	Studi Fr	0039-2944		Studi Fr	100970767
25234	Studi italiani di filologia classica	Studi Ital Filol Cl	0039-2987		Studi Ital Filol Cl	100970769
25235	The Ukrainian quarterly	Ukr Q	0041-6010		Ukr Q	100970771
25237	Studia (Lisbon, Portugal)	Studia	0870-0028		Studia	100970774
25238	Studies	Studies	0039-3495		Studies	100970776
25239	Unitas (Helsinki, Finland : English edition)	Unitas	0041-7130		Unitas	100970777
25241	Study sessions - Canadian Catholic Historical Association. Canadian Catholic Historical Association	Study Sess Can Cathol Hist Assoc	0318-6156		Study Sess Can Cathol Hist Assoc	100970784
25242	Suchasnist'	Sucasnist	0585-8364		Sucasnist	100970787
25244	Unsere Heimat	Unsere Heim	0502-6938		Unsere Heim	100970794
25248	The Swedish-American historical quarterly / Swedish Pioneer Historical Society	Swed Am Hist Q	0730-028X		Swed Am Hist Q	100970805
25249	Urban history yearbook	Urban Hist Yearb	0306-0845		Urban Hist Yearb	100970806
25250	Syesis	Syesis	0082-0601		Syesis	100970807
25251	The Urban League review. National Urban League. Research Dept	Urban Leag Rev	0147-1740		Urban Leag Rev	100970808
25253	Universitas	Universitas (Stuttg)	0341-0129		Universitas (Stuttg)	100970814
25256	Voprosy istorii KPSS (Moscow, Russia)	Vopr Istor KPSS	0320-8907		Vopr Istor KPSS	100970830
25257	Revue de l'Academie polonaise des sciences. Polska Akademia Nauk	Rev Acad Pol Sci	0554-5641		Rev Acad Pol Sci	100970833
25259	Revue de l'enseignement superieur	Rev Enseign Super	0035-1407		Rev Enseign Super	100970840
25261	Wissenschaftliche Zeitschrift der Humboldt-Universitat zu Berlin. Gesellschafts- und sprachwissenschaftliche Reihe	Wiss Z Humboldt Univ Berl (Ges Sprachwiss)	0522-9855		Wiss Z Humboldt Univ Berl (Ges Sprachwiss)	100970816
25262	Universitas (University of Ghana)	Universitas (Ghana)	0049-5530		Universitas (Ghana)	100970789
25263	Ukrains'kyi istorychnyi zhurnal	Ukr Istor Z	0130-5247		Ukr Istor Z	100970768
25264	University of Wyoming publications (Laramie, Wyo. : 1935)	Univ Wyo Publ	0084-3199		Univ Wyo Publ	100971127
25265	Wissenschaftliche Zeitschrift der Wilhelm-Pieck-Universitat Rostock. Gesellschafts- und sprachwissenschaftliche Reihe	Wiss Z Wilhelm Pieck Univ Rostock Ges Sprachwiss	0323-4630		Wiss Z Wilhelm Pieck Univ Rostock Ges Sprachwiss	100971133
25266	Soviet Union. Union sovietique	Sov Union	0094-2863		Sov Union	100971053
25269	Lychnos : Lardomshistoriska samfundets arsbok = annual of the Swedish History of Science Society	Lychnos Lardomshist Samf Arsb	0076-1648		Lychnos Lardomshist Samf Arsb	100971246
25270	Dh : bulletin d'information / Societe de demographie historique	Demogr Hist Bull Inf Soc	0997-0975		Demogr Hist Bull Inf Soc	100971250
25271	Impulse	Impulse (Sydney)	0729-1752		Impulse (Sydney)	100971272
25272	Jahrbuch fur brandenburgische Landesgeschichte	Jahrb Brandenbg Landesgesch	0447-2683		Jahrb Brandenbg Landesgesch	100971273
25276	Archaeology	Archaeology	0003-8113		Archaeology	100971260
25277	Abhandlungen und Berichte (Deutsches Museum (Germany))	Abh Ber Dtsch Mus	0012-1339		Abh Ber Dtsch Mus	100971262
25278	Essays and studies (London, England : 1950)	Essays Stud (Lond)	0071-1357		Essays Stud (Lond)	100971264
25279	Etudes anglaises (Periodical)	Etud Angl	0014-195X		Etud Angl	100971265
25280	Europe; revue litteraire mensuelle	Europe	0014-2751		Europe	100971267
25281	Hampshire : the county magazine	Hampshire	0017-7113		Hampshire	100971269
25282	Historie (Arhus, Denmark)	Historie (Arhus)	0107-4725		Historie (Arhus)	100971270
25284	Library review. Great Britain. Forestry Commission	Libr Rev (Lond)	0436-4112		Libr Rev (Lond)	100971276
25285	Bulletin municipal officiel de la ville de Marseille	Bull Munic Off Ville Mars	1279-3884		Bull Munic Off Ville Mars	100971277
25288	Transport history	Trans Hist	0041-1469		Trans Hist	100971287
25289	Wissenschaftliche Zeitschrift der Friedrich-Schiller-Universitat Jena. Gesellschafts- und sprachwissenschaftliche Reihe	Wiss Z Friedrich Schiller Univ Jena Ges Sprachwiss	0138-1652		Wiss Z Friedrich Schiller Univ Jena Ges Sprachwiss	100971289
25291	Studi di filologia italiana : bulletino dell' Accademia della Crusca	Studi Filol Ital	0392-5110		Studi Filol Ital	100971753
25293	Romania	Romania	0035-8029		Romania	100971982
25294	American politics quarterly	Am Polit Q	0044-7803		Am Polit Q	100972302
25297	The Catholic historical review	Cathol Hist Rev	0008-8080		Cathol Hist Rev	100972673
25302	Cross currents (Ann Arbor, Mich.)	Cross Curr (Ann Arbor MI)	0748-0164		Cross Curr (Ann Arbor MI)	100967276
25307	Zambezia	Zambezia	0379-0622		Zambezia	101085600
25310	Adler	Adler	0001-8260		Adler	100967228
25311	Cahiers bruxellois	Cah Brux	0007-9626		Cah Brux	100966894
25314	Jahrbuch der Albertus-Universitat zu Konigsberg/Pr	Jahrb Albertus Univ Koenigsb	0075-2177		Jahrb Albertus Univ Koenigsb	100968151
25316	The West Texas Historical Association year book. West Texas Historical Association	West Tex Hist Asso Year B	0886-6155		West Tex Hist Asso Year B	100970185
25317	Yalkut moreshet	Yalkut Moreshet	0513-4617		Yalkut Moreshet	101086901
25319	Historical journal of western Massachusetts	Hist J West Mass	0163-3929		Hist J West Mass	101086906
25320	The Journal of the Rutgers University Library	J Rutgers Univ Libr	0036-0473		J Rutgers Univ Libr	101086911
25322	The Denver Westerners roundup	Denver West Roundup	0278-7970		Denver West Roundup	101086916
25323	Journal (North Louisiana Historical Association)	J North La Hist Assoc	0739-005X		J North La Hist Assoc	101086918
25324	The bulletin - Missouri Historical Society. Missouri Historical Society	Bull Mo Hist Soc	0026-6590		Bull Mo Hist Soc	101086919
25325	Ukrainian review (London, England)	Ukr Rev (Lond)	0041-6029		Ukr Rev (Lond)	101086923
25326	Newsletter - Group for the Use of Psychology in History. Group for the Use of Psychology in History	Newsl Group Use Psychol Hist	0162-9999		Newsl Group Use Psychol Hist	101086924
25327	Musees de Geneve	Mus Geneve	0027-3821		Mus Geneve	101086926
25329	Revue des deux mondes (Paris, France : 1948)	Rev Deux Mondes	0035-1962		Rev Deux Mondes	101086929
25332	Survey (London, England : 1961)	Survey (Lond)	0039-6192		Survey (Lond)	101086934
25333	Geschichte und Gesellschaft (Vandenhoeck & Ruprecht)	Gesch Ges	0340-613X		Gesch Ges	101087064
25334	Historical archaeology	Hist Archaeol	0440-9213		Hist Archaeol	101087247
25335	Jahrbucher fur Geschichte Osteuropas	Jahrb Gesch Osteur	0021-4019		Jahrb Gesch Osteur	101087248
25337	Belfagor	Belfagor	0005-8351		Belfagor	100966433
25339	Anales de la Academia de Geografia e Historia de Guatemala. Academia de Geografia e Historia de Guatemala	An Acad Geogr Hist Guatem	0252-337X		An Acad Geogr Hist Guatem	100966597
25340	Anais de historia : publicacao do Departamento de Historia da Faculdade de Filosofia, Ciencias e Letras de Assis	An Hist	0100-2139		An Hist	100966925
25342	Critica storica	Crit Stor	0011-1554		Crit Stor	100967269
25343	Etudes internationales	Etud Int	0014-2123		Etud Int	100967373
25344	The Geographical magazine	Geogr Mag	0016-741X		Geogr Mag	100967569
25345	Historielararnas forenings arsskrift	Historiel Foren Arsskr	0439-2434		Historiel Foren Arsskr	100967891
25346	Imprimatur	Imprimatur	0946-3178		Imprimatur	100967961
25347	Jahrbuch fur Geschichte	Jahrb Gesch	0448-1526		Jahrb Gesch	100968185
25350	Literatura (San Sebastian, Spain)	Literatura	1130-6106		Literatura	100968398
25351	Livrustkammaren	Livrustkammaren	0024-5372		Livrustkammaren	100968425
25352	Italia contemporanea	Ital Contemp	0392-3568		Ital Contemp	100968469
25353	Manitoba history	Man Hist	0226-5044		Man Hist	100968528
25354	Memoires de la Societe d'agriculture, commerce, sciences et arts du departement de la Marne. Societe d'agriculture, commerce, sciences et arts du departement de la Marne, Chalons-sur-Marne	Mem Soc Agric Commer Sci Arts Marne	0293-9525		Mem Soc Agric Commer Sci Arts Marne	100968732
25355	Milwaukee history	Milw Hist	0163-7622		Milw Hist	100968840
25356	Museum helveticum	Mus Helv	0027-4054		Mus Helv	100969162
25357	Nebraska history	Nebr Hist	0028-1859		Nebr Hist	100969424
25360	Novaia i noveishaia istoriia	Nov Novejsaja Istor	0130-3864		Nov Novejsaja Istor	100969629
25361	Revue des etudes sud-est europeennes	Rev Etud Sud Est Eur	0035-2063		Rev Etud Sud Est Eur	100969646
25362	Ontario history	Ont Hist	0030-2953		Ont Hist	100969683
25364	Revista de marina (Valparaiso, Chile)	Rev Mar	0034-8511		Rev Mar	100970027
25365	Rochester history	Rochester Hist	0035-7413		Rochester Hist	100970193
25366	Wissenschaft und Glaube	Wiss Glaube	1012-3067		Wiss Glaube	100970225
25367	Somerset archaeology and natural history : the Proceedings of the Somersetshire Archaeological and Natural History Society for ...	Somerset Archaeol Net Hist	0081-2056		Somerset Archaeol Net Hist	100970495
25368	Victorian periodicals review	Vic Period Rev	0709-4698		Vic Period Rev	100970536
25370	Ulster folklife	Ulster Folklife	0082-7347		Ulster Folklife	100970773
25372	Rheinische Vierteljahrsblatter	Rhein Vierteljahrsbl	0035-4473		Rhein Vierteljahrsbl	101087794
25373	The Swedish pioneer historical quarterly	Swed Pioneer Hist Q	0039-7326		Swed Pioneer Hist Q	101088180
25374	Tijdschrift voor sociale geschiedenis	Tijdschr Soc Geschied	0303-9935		Tijdschr Soc Geschied	101088232
25377	Anuario de estudios centroamericanos	Anu Estud Centroam	0377-7316		Anu Estud Centroam	101090980
25379	Bollettino storico-bibliografico subalpino	Boll Stor Bibliogr Subalp	0391-6715		Boll Stor Bibliogr Subalp	101091800
25380	Rheinische Lebensbilder	Rheinische Lebensbilder	0080-2670		Rheinische Lebensbilder	100970130
25382	Ekonomika Sovetskoi Ukrainy	Ekon Sov Ukr	0131-7741		Ekon Sov Ukr	101094160
25383	The Guildhall miscellany	Guildhall Misc	0072-8985		Guildhall Misc	101095394
25384	Fortuna vitrea	Fortuna Vitrea	0938-9660		Fortuna Vitrea	101095404
25385	Canadian journal of history of sport = Revue canadienne de l'histoire des sports	Can J Hist Sport	0712-9815		Can J Hist Sport	101095420
25386	Folklore suisse	Folkl Suisse	0015-5969		Folkl Suisse	101095413
25387	Cuadernos de historia de Espana / Instituto de Historia de la Cultura Espanola, Medioeval y Moderna	Cuad Hist Esp	0325-1195		Cuad Hist Esp	101095418
25389	Bulletin de l'Institut francais d'archeologie orientale. Institut francais d'archeologie orientale du Caire	Bull Inst Fr Archeol Orient	0255-0962		Bull Inst Fr Archeol Orient	101095521
25390	The bibliotheck	Bibliotheck	0006-193X		Bibliotheck	101095530
25392	Bulletin de la Societe des amis du vieux Toulon	Bull Soc Amis Vieux Toulon	1148-8530		Bull Soc Amis Vieux Toulon	101095561
25393	Encounter	Encounter (Lond)	0013-7073		Encounter (Lond)	101095565
25394	Les Cahiers de l'Iroise	Cah Iroise	0007-9898		Cah Iroise	101095572
25395	Hades	Hades	0181-1029		Hades	101095597
25396	Estudios de cultura nahuatl	Estud Cult Nahuatl	0071-1675		Estud Cult Nahuatl	101095639
25397	Technikgeschichte in Einzeldarstellungen	Technikgesch Einzeldarst	0082-2361		Technikgesch Einzeldarst	101095645
25398	Annali - Istituto Giangiacomo Feltrinelli	Ann Ist Giangiacomo Feltrinelli	0544-1374		Ann Ist Giangiacomo Feltrinelli	101095603
25399	Enfermeras	Enfermeras	1131-2092		Enfermeras	101095594
25400	Evocations	Evocations	1149-2031		Evocations	101095595
25401	Annales archeologiques arabes syriennes	Ann Archeol Syrie	0570-1554		Ann Archeol Syrie	101095689
25402	Estudios (Madrid, Spain)	Estudios	0210-0525		Estudios	101095622
25403	Etudes classiques (Namur, Belgium)	Etud Class	0014-200X		Etud Class	101095632
25405	The American Society Legion of Honor magazine	Am Soc Legion Honor Mag	0003-1097		Am Soc Legion Honor Mag	101095788
25406	The International journal of social education : official journal of the Indiana Council for the Social Studies	Int J Soc Educ	0889-0293		Int J Soc Educ	101095854
25408	Ecrits de Paris: revue des questions actuelles	Ecrits Paris	0013-0710		Ecrits Paris	101095857
25411	Physis; rivista internazionale di storia della scienza	Physis Riv Int Stor Sci	0031-9414		Physis Riv Int Stor Sci	76224
25412	AntiqueWeek	Antiqueweek	0888-5451		Antiqueweek	100966113
25413	Archivni casopis	Arch Cas	0004-0398		Arch Cas	100966176
25416	The American neptune	Am Neptune	0003-0155		Am Neptune	100966568
25418	Cahiers d'etudes medievales (Montreal, Quebec)	Cah Etud Mediev	0381-1719		Cah Etud Mediev	100966902
25420	The Center magazine	Cent Mag	0008-9125		Cent Mag	100967083
25423	Ethnicity	Ethnicity	0095-6139		Ethnicity	100967326
25424	The Devon historian	Devon Hist	0305-8549		Devon Hist	100967466
25426	Food Research Institute studies (Stanford, Calif. : 1975)	Food Res Inst Stud	0193-9025		Food Res Inst Stud	100967557
25427	The Hemingway review	Hemingway Rev	0276-3362		Hemingway Rev	100967781
25428	Humanismus und Technik Jahrbuch	Humanismus Tech	0439-884X		Humanismus Tech	100967907
25431	Marine-rundschau	Mar Rundsch	0025-3294		Mar Rundsch	100968598
25432	The McGill news	McGill News	0024-9068		McGill News	100968654
25435	The Mississippi quarterly	Miss Q	0026-637X		Miss Q	100969045
25437	Rassegna degli archivi di Stato	Rass Arch Stato	0392-1522		Rass Arch Stato	100969419
25444	Rivista critica di storia della filosofia	Riv Crit Stor Filos	0035-581X		Riv Crit Stor Filos	100970148
25445	Kungliga Krigsvetenskapsakademiens handlingar och tidskrift	K Krigsvetenskapakad Handlingar Tidskr	0023-5369		K Krigsvetenskapakad Handlingar Tidskr	100970102
25448	Scandinavian studies : publication of the Society for the Advancement of Scandinavian Study	Scand Stud	0036-5637		Scand Stud	100970324
25449	Zeitschrift fur Sozialreform	Z Sozialreform	0514-2776		Z Sozialreform	100970397
25451	Tennessee Folklore Society bulletin	Tenn Folk Soc Bull	0040-3253		Tenn Folk Soc Bull	100970586
25452	Slezsky sbornik	Slezsky Sb	0037-6833		Slezsky Sb	100970463
25456	Traditio	Traditio	0362-1529		Traditio	100970674
25457	Studi classici e orientali	Stud Cl Orient	0081-6124		Stud Cl Orient	100970763
25458	Revista de historia	Rev Hist (Costa Rica)	1012-9790		Rev Hist (Costa Rica)	100970837
25465	Nestle Nutrition workshop series. Clinical & performance programme	Nestle Nutr Workshop Ser Clin Perform Programme	1422-7584	1662-386X	Nestle Nutr Workshop Ser Clin Perform Programme	101121826
25469	Beaufortia		0067-4745		Beaufortia	101124649
25470	Bollettino malacologico		0394-7149		Boll. Malacol.	101124645
25476	Suisan ikushu		1343-7917		Suisan Ikushu	101125200
25479	Canadian HIV/AIDS policy & law review / Canadian HIV/AIDS Legal Network	Can HIV AIDS Policy Law Rev	1496-399X		Can HIV AIDS Policy Law Rev	101125215
25480	Chinese journal of preventive veterinary medicine		1008-0589		Chin. J. Prev. Vet. Med.	101125320
25484	NAHAM access management journal	NAHAM Access Manag J	1534-9861		NAHAM Access Manag J	101125179
25485	Zeitschrift fur Saugetierkunde		0044-3468		Z. Saugetierkd.	107323
25488	Sacitra Ayurveda	Sacitra Ayurveda	0970-678X		Sacitra Ayurveda	9426501
25491	Can ye ke xue = Canye kexue = Acta sericologica sinica		0257-4799		Can Ye Ke Xue	101127052
25492	Tribulus : bulletin of the Emirates Natural History Group		1019-6919		Tribulus (Abu Dhabi)	101127171
25493	The Australian journal of social issues	Aust J Soc Issues	0157-6321		Aust J Soc Issues	9891973
25494	The journal of biolaw & business	J Biolaw Bus	1095-5127		J Biolaw Bus	9891884
25495	Maclean's	Macleans	0024-9262		Macleans	9891763
25497	The Journal of applied social sciences	J Appl Soc Sci	0146-4310		J Appl Soc Sci	9891585
25501	Economist (London, England : 1843)	Economist	0013-0613		Economist	9887119
25502	Harper's	Harpers (N Y N Y)	0017-789X		Harpers (N Y N Y)	9887122
25504	International Review Of Modern Sociology	Int Rev Mod Sociol	0970-4841		Int Rev Mod Sociol	9887071
25505	Journal of sociology and social welfare	J Sociol Soc Welf	0191-5096		J Sociol Soc Welf	9886759
25506	Environmental affairs	Environ Aff	0046-2225		Environ Aff	9886721
25507	SRA journal	SRA J	1062-8142		SRA J	9886280
25509	Journal of social behavior and personality	J Soc Behav Pers	0886-1641		J Soc Behav Pers	9885445
25515	Baillieres Clinical Oncology	Baillieres Clin Oncol	0950-3560		Baillieres Clin Oncol	9883754
25516	The animals' agenda	Anim Agenda	0892-8819		Anim Agenda	9883488
25518	Hippocrates (Sausalito, Calif.)	Hippocrates (Sausalito)	0892-2977		Hippocrates (Sausalito)	9882965
25519	Journal of family law / University of Louisville School of Law	J Fam Law	0022-1066		J Fam Law	9882907
25522	The Daily Washington law reporter	Dly Wash Law Report	1066-6095		Dly Wash Law Report	9881454
25524	Omni (New York, N.Y.)	Omni	0149-8711		Omni	9881303
25526	Journal of the American Scientific Affiliation. American Scientific Affiliation	J Am Sci Affil	0003-0988		J Am Sci Affil	9881247
25528	Ethics and medics	Ethics Medics	1071-3778		Ethics Medics	9881169
25529	Westminster Institute review	Westminst Inst Rev	0228-2984		Westminst Inst Rev	9881054
25534	The Human life review	Hum Life Rev	0097-9783		Hum Life Rev	9877967
25535	Database	Database	0162-4105		Database	9877944
25536	Amicus	Amicus	0146-8278		Amicus	9877475
25538	Nation (New York, N.Y. : 1865)	Nation	0027-8378		Nation	9877123
25539	New republic (New York, N.Y.)	New Repub	0028-6583		New Repub	9877125
25540	Computerworld	Computerworld	0010-4841		Computerworld	9877037
25541	Columbia forum	Columbia Forum	0010-1907		Columbia Forum	9876967
25542	Case and comment	Case Comment	0008-7238		Case Comment	9876925
25543	Boston University journal	Boston Univ J	0006-8039		Boston Univ J	9876868
25544	New society	New Soc	0028-6729		New Soc	9876370
25545	Marriage	Marriage	0025-4010		Marriage	9876281
25548	Environmental law (Northwestern School of Law)	Environ Law	0046-2276		Environ Law	9876015
25549	Congressional quarterly weekly report	Congr Q Wkly Rep	0010-5910		Congr Q Wkly Rep	9875039
25550	Congressional record : proceedings and debates of the ... Congress. United States. Congress	Congr Rec (Dly Ed)	0363-7239		Congr Rec (Dly Ed)	9812554
25551	Biomedical ethics (Tubingen, Germany)	Biomed Ethics	1430-9858		Biomed Ethics	9806961
25552	Journal of ethics, law, and aging	J Ethics Law Aging	1076-1616		J Ethics Law Aging	9713941
25554	Prenatal and neonatal medicine : the international journal of basic and clinical research and practice	Prenat Neonatal Med	1359-8635		Prenat Neonatal Med	9609472
25556	AIDS analysis Asia	AIDS Anal Asia	1359-1452		AIDS Anal Asia	9600618
25557	European journal of genetics in society : an ethical approach to genetics	Eur J Genet Soc	1023-9022		Eur J Genet Soc	9517856
25558	Making the rounds in health, faith, & ethics	Mak Rounds Health Faith Ethics	1082-1015		Mak Rounds Health Faith Ethics	9515689
25560	Bioethics bulletin (Washington, D.C.)	Bioeth Bull	1063-3596		Bioeth Bull	9507622
25562	Medicine and global survival : M & GS	Med Glob Surviv	1350-4002		Med Glob Surviv	9433341
25563	The mankind quarterly	Mankind Q	0025-2344		Mankind Q	9427287
25564	South African cancer bulletin = Suid-Afrikaanse kankerbulletin / an official publication of the National Cancer Association of South Africa	S Afr Cancer Bull	0038-2043		S Afr Cancer Bull	9427267
25567	Generations (San Francisco, Calif.)	Generations	0738-7806		Generations	9426452
25569	Biochimica clinica	Biochim Clin	0393-0564		Biochim Clin	9426283
25570	Genewatch : a bulletin of the Committee for Responsible Genetics	Genewatch	0740-9737		Genewatch	9426048
25575	The journal of the California Alliance for the Mentally Ill	J Calif Alliance Ment Ill	1097-802X		J Calif Alliance Ment Ill	9315245
25576	Journal of Biblical ethics in medicine	J Biblic Ethics Med	1050-3404		J Biblic Ethics Med	9310725
25577	Professional ethics report : newsletter of the American Association for the Advancement of Science, Committee on Scientific Freedom & Responsibility, Professional Society Ethics Group	Prof Ethics Rep	1045-8808		Prof Ethics Rep	9306497
25579	Bioethics forum	Bioethics Forum	1065-7274		Bioethics Forum	9305907
25581	Innovations in oncology nursing	Innov Oncol Nurs	0882-813X		Innov Oncol Nurs	9302316
25583	Assia--Jewish medical ethics	Assia Jew Med Ethics	0793-2952		Assia Jew Med Ethics	9215931
25586	In health	In Health	1047-0549		In Health	9213215
25588	Ethics & medicine : a Christian perspective on issues in bioethics	Ethics Med	0266-688X		Ethics Med	9200377
25589	Advances in medical sociology	Adv Med Sociol	1057-6290	1875-8053	Adv Med Sociol	9200304
25590	Assisted reproduction reviews	Assist Reprod Rev	1051-2446		Assist Reprod Rev	9109479
25591	Human research report	Hum Res Rep	0885-0615		Hum Res Rep	9105327
25592	Bulletin of medical ethics	Bull Med Ethics	0962-9564		Bull Med Ethics	9103287
